Nf3 Nc6 
e4 e5 
Bc4 Bc5 
c3 Nf6 
d3 d6 
a4 a6 
O-O O-O 
Nbd2 Ba7 
Re1 Ne7 
Nf1 c6 
Bb3 Ng6 
Be3 Bb8 
Ng3 h6 
d4 Bc7 
dxe5 dxe5 
Bc5 Re8 
h3 b6 
Be3 Qe7 
Nf5 Qf8 
Nd2 Nf4 
Bxf4 exf4 
Nd4 Bb7 
N4f3 Nd7 
Ba2 Rad8 
Qc2 b5 
axb5 cxb5 
b4 Rc8 
Bd5 Bxd5 
exd5 Rxe1+ 
Rxe1 Nf6 
Qa2 Qd6 
Ne4 Nxe4 
Rxe4 Bb6 
c4 bxc4 
Rxc4 Rd8 
Rc6 Qxb4 
Qxa6 Qb1+ 
Qf1 Qb2 
d6 Ra8 
d7 Ra1 
Ne1 Rd1 
Rc8+ Kh7 
Rb8 Qxf2+ 
Qxf2 Rxe1+ 
Kh2 Bxf2 *

